ADA,EUR,8
APT,EUR,28
ARB,EUR,48
ATOM,EUR,68
AVAX,EUR,88
BCH,EUR,108
BNB,EUR,128
BTC,EUR,148
CHZ,EUR,168
DOGE,EUR,188
DOT,EUR,208
EGLD,EUR,228
ETH,EUR,248
FTM,EUR,268
GALA,EUR,288
GMT,EUR,308
GRT,EUR,328
ICP,EUR,348
LINK,EUR,368
LTC,EUR,388
MATIC,EUR,408
NEAR,EUR,428
OP,EUR,448
PEPE,EUR,468
SHIB,EUR,488
SOL,EUR,508
SUI,EUR,528
TRX,EUR,548
VET,EUR,568
XLM,EUR,588
XRP,EUR,608
ADA,TRY,628
APT,TRY,648
ARB,TRY,668
ATOM,TRY,688
AVAX,TRY,708
BCH,TRY,728
BNB,TRY,748
BTC,TRY,768
CHZ,TRY,788
DOGE,TRY,808
DOT,TRY,828
EGLD,TRY,848
ETH,TRY,868
FTM,TRY,888
GALA,TRY,908
GMT,TRY,928
GRT,TRY,948
ICP,TRY,968
LINK,TRY,988
LTC,TRY,1008
MATIC,TRY,1028
NEAR,TRY,1048
OP,TRY,1068
PEPE,TRY,1088
SHIB,TRY,1108
SOL,TRY,1128
SUI,TRY,1148
TRX,TRY,1168
USDT,TRY,1188
VET,TRY,1208
XLM,TRY,1228
XRP,TRY,1248
BTC,ARS,1268
ETH,ARS,1288
USDT,ARS,1308
ADA,BRL,1328
AVAX,BRL,1348
BNB,BRL,1368
BTC,BRL,1388
CHZ,BRL,1408
DOGE,BRL,1428
DOT,BRL,1448
ETH,BRL,1468
GALA,BRL,1488
LINK,BRL,1508
LTC,BRL,1528
MATIC,BRL,1548
NEAR,BRL,1568
PEPE,BRL,1588
SHIB,BRL,1608
SOL,BRL,1628
USDT,BRL,1648
XRP,BRL,1668
USDT,COP,1688
USDT,IDRT,1708
BTC,PLN,1728
ETH,PLN,1748
USDT,PLN,1768
BTC,RON,1788
EGLD,RON,1808
USDT,RON,1828
BNB,UAH,1848
BTC,UAH,1868
ETH,UAH,1888
USDT,UAH,1908
BTC,ZAR,1928
ETH,ZAR,1948
USDT,ZAR,1968
